Color Name,Description,Time Stamp,L,A,B,L,C,H,X,Y,Z,R,G,B,HEX,C,M,Y,K,ACES-R,ACES-G,ACES-B,ACEScg-R,ACEScg-G,ACEScg-B,Lin.sRGB-R,Lin.sRGB-G,Lin.sRGB-B
R6 80-90,,,65.11,0.95,10.63,65.11,10.67666667,84.96,33.24,34.19333333,22.25666667,165.6666667,157.3333333,139,,0.37,0.333333333,0.456666667,0.013333333,0.341866667,0.333433333,0.269333333,0.359466667,0.3392,0.2696,0.379566667,0.3373,0.258433333
R6 90-100,,,59.66,1.456666667,11.67333333,59.66,11.76666667,82.84,27.13333333,27.77,17.29666667,152.3333333,142.6666667,123.3333333,,0.41,0.383333333,0.516666667,0.05,0.278733333,0.269166667,0.209233333,0.295933333,0.2744,0.209433333,0.316533333,0.2723,0.199
R7 0-10,,,48.26,2.856666667,11.83,48.26,12.17,76.41333333,16.91,17.00666667,10,125.3333333,112.6666667,94.66666667,,0.486666667,0.476666667,0.613333333,0.176666667,0.1734,0.162666667,0.121,0.187233333,0.166,0.121166667,0.205933333,0.1637,0.1138
R7 10-20,,,52.66,2.19,10.26666667,52.66,10.5,77.98666667,20.47,20.77,13.05666667,135,124,108,,0.466666667,0.44,0.56,0.116666667,0.210333333,0.200566667,0.158,0.2239,0.204033333,0.158166667,0.2417,0.201933333,0.150666667
R7 20-30,,,52.76,1.826666667,10.69,52.76,10.84333333,80.3,20.47,20.84,12.95333333,134.6666667,124.3333333,107.6666667,,0.466666667,0.436666667,0.566666667,0.116666667,0.2102,0.201466667,0.156733333,0.2238,0.205233333,0.1569,0.240966667,0.203333333,0.149033333
R7 30-40,,,53.22333333,1.126666667,9.523333333,53.22333333,9.59,83.26333333,20.81,21.34,13.73,134,126.3333333,111,,0.473333333,0.43,0.55,0.11,0.214,0.2076,0.166133333,0.225733333,0.211233333,0.166266667,0.239766667,0.209833333,0.159033333
R7 40-50,,,54.76333333,0.63,9.123333333,54.76333333,9.15,86.03333333,22.03,22.70666667,14.84,137,130.3333333,115.3333333,,0.466666667,0.416666667,0.53,0.09,0.226633333,0.221733333,0.179533333,0.237933333,0.225566667,0.179733333,0.250433333,0.224433333,0.172433333
R7 50-60,,,57.59666667,1.053333333,9.226666667,57.59666667,9.293333333,83.48333333,24.87333333,25.53666667,16.8,145,137.3333333,122.3333333,,0.44,0.4,0.51,0.063333333,0.2559,0.249033333,0.203333333,0.268833333,0.2531,0.2035,0.2841,0.251533333,0.195533333
R7 60-70,,,61.68333333,0.69,10.14666667,61.68333333,10.16666667,86.11666667,29.14333333,30.04,19.57333333,155.6666667,148.3333333,131.3333333,,0.403333333,0.363333333,0.486666667,0.033333333,0.299766667,0.293266667,0.2368,0.314866667,0.298366667,0.237,0.3316,0.2969,0.2272
R7 70-80,,,67.61666667,0.76,11.72333333,67.61666667,11.75,86.27333333,36.35333333,37.46666667,23.97,172.6666667,164,143.6666667,,0.343333333,0.31,0.436666667,0.006666667,0.373766667,0.365233333,0.29,0.3938,0.372066667,0.290233333,0.415933333,0.3701,0.2772
R7 80-90,,,65.85666667,0.45,11.43666667,65.85666667,11.44666667,87.78666667,34.01333333,35.14333333,22.51,167.3333333,159,139.6666667,,0.363333333,0.323333333,0.456666667,0.013333333,0.3497,0.343033333,0.2723,0.367933333,0.3496,0.272533333,0.3873,0.348,0.260266667
R7 90-100,,,66.68,0.596666667,11.17,66.68,11.18666667,86.94,35.09,36.21333333,23.39666667,169.6666667,161.3333333,142,,0.353333333,0.316666667,0.44,0.01,0.3609,0.353533333,0.283066667,0.3794,0.359933333,0.283266667,0.399433333,0.358233333,0.2711
R8 0-10,,,53.73666667,3.34,13.77,53.73666667,14.17666667,76.43,21.68666667,21.75666667,12.45333333,141,126.3333333,105,,0.433333333,0.44,0.586666667,0.113333333,0.222233333,0.2074,0.150633333,0.241133333,0.211933333,0.1509,0.2668,0.208733333,0.140833333
R8 10-20,,,53.36333333,1.953333333,11.21333333,53.36333333,11.38333333,80.13333333,21.04,21.40333333,13.14333333,136.6666667,126,108,,0.46,0.433333333,0.563333333,0.113333333,0.216066667,0.206533333,0.158933333,0.230566667,0.210566667,0.159133333,0.248933333,0.2085,0.1508
R8 20-30,,,58.87666667,2.076666667,11.70666667,58.87666667,11.88666667,79.94,26.48,26.93666667,16.71333333,151.6666667,140,121.3333333,,0.413333333,0.39,0.52,0.06,0.271966667,0.260266667,0.202233333,0.289733333,0.265133333,0.202466667,0.312266667,0.2626,0.1923
R8 30-40,,,57.17,1.446666667,10.25333333,57.17,10.35666667,81.96666667,24.54,25.1,16.06333333,145,136,119.6666667,,0.436666667,0.403333333,0.523333333,0.07,0.252233333,0.243766667,0.194333333,0.2667,0.248033333,0.194533333,0.284333333,0.246166667,0.1859
R8 40-50,,,57.51333333,1.046666667,9.68,57.51333333,9.74,83.83666667,24.79333333,25.45666667,16.55333333,145.3333333,137.3333333,121.3333333,,0.436666667,0.396666667,0.516666667,0.066666667,0.255,0.248033333,0.2003,0.2684,0.252233333,0.200466667,0.284133333,0.2507,0.192166667
R8 50-60,,,59.45333333,0.473333333,9.973333333,59.45333333,9.986666667,87.30333333,26.65333333,27.52666667,17.88,149.6666667,142.6666667,125.6666667,,0.423333333,0.376666667,0.503333333,0.05,0.274166667,0.2689,0.216333333,0.287833333,0.273733333,0.2165,0.302566667,0.272466667,0.2074
R8 60-70,,,65.93666667,0.733333333,10.54,65.93666667,10.56666667,86.02333333,34.19666667,35.24666667,23.05,167.3333333,159.3333333,141,,0.363333333,0.326666667,0.443333333,0.01,0.351833333,0.344166667,0.2789,0.369266667,0.3501,0.2791,0.388733333,0.348366667,0.2678
R8 70-80,,,68.76333333,0.706666667,11.34333333,68.76333333,11.36666667,86.42333333,37.84333333,39.02,25.27,175.6666667,166.6666667,147.3333333,,0.333333333,0.293333333,0.42,0.003333333,0.389233333,0.380833333,0.305733333,0.409166667,0.387666667,0.305966667,0.4311,0.385733333,0.292966667
R8 80-90,,,63.50333333,0.54,11.17666667,63.50333333,11.19,87.26333333,31.18666667,32.19333333,20.58333333,160.6666667,152.6666667,134,,0.383333333,0.343333333,0.476666667,0.02,0.320666667,0.314066667,0.249,0.337566667,0.320033333,0.249233333,0.3559,0.3185,0.238
R8 90-100,,,66.23333333,0.203333333,10.84666667,66.23333333,10.85,88.94333333,34.41333333,35.63,23.15666667,167.3333333,160.3333333,141.6666667,,0.363333333,0.316666667,0.446666667,0.01,0.353966667,0.348533333,0.2802,0.371166667,0.354933333,0.2804,0.388766667,0.353633333,0.2686
R9 0-10,,,47.21333333,2.52,10.77666667,47.21333333,11.07333333,76.8,16.05333333,16.19333333,9.773333333,121.3333333,110,93.66666667,,0.5,0.483333333,0.61,0.186666667,0.1647,0.155433333,0.118266667,0.1769,0.1584,0.1184,0.193233333,0.156433333,0.111833333
R9 10-20,,,48.61666667,1.816666667,10.21333333,48.61666667,10.37666667,79.92,17,17.29333333,10.69333333,123.6666667,114,98.33333333,,0.5,0.463333333,0.596666667,0.166666667,0.174566667,0.166966667,0.129333333,0.1861,0.170166667,0.1295,0.200766667,0.1685,0.1229
R9 20-30,,,50.36,1.456666667,9.333333333,50.36,9.446666667,81.10333333,18.33,18.72333333,11.97,127,118.6666667,104.3333333,,0.49,0.453333333,0.57,0.143333333,0.1884,0.181666667,0.144866667,0.199366667,0.184833333,0.144966667,0.212966667,0.183366667,0.138533333
R9 30-40,,,55.04666667,1.12,9.6,55.04666667,9.666666667,83.33666667,22.41,22.98666667,14.85,139,131,115,,0.456666667,0.42,0.53,0.09,0.230433333,0.223733333,0.1797,0.242966667,0.227633333,0.179866667,0.257766667,0.2261,0.1722
R9 40-50,,,61.63,0.953333333,10.57,61.63,10.61666667,84.83,29.14666667,29.97333333,19.32,156.3333333,148,130.3333333,,0.4,0.36,0.486666667,0.03,0.299733333,0.291966667,0.2338,0.3157,0.297233333,0.234,0.334033333,0.295433333,0.223866667
R9 50-60,,,63,0.043333333,10.36,63,10.36333333,89.75333333,30.48,31.59333333,20.56333333,158.3333333,152,133.6666667,,0.396666667,0.343333333,0.476666667,0.026666667,0.313533333,0.309333333,0.2488,0.3284,0.315033333,0.248966667,0.343333333,0.314,0.238566667
R9 60-70,,,63.40666667,0.05,10.92666667,63.40666667,10.93,89.71333333,31.01666667,32.16,20.67333333,159.6666667,153.3333333,134,,0.393333333,0.34,0.476666667,0.023333333,0.318966667,0.314533333,0.250133333,0.3348,0.3206,0.250333333,0.3507,0.3195,0.2392
R9 70-80,,,65.76666667,0.013333333,11.56666667,65.76666667,11.56666667,89.91,33.79,35.03666667,22.36,166.3333333,159.3333333,139,,0.366666667,0.32,0.46,0.013333333,0.3474,0.342566667,0.2705,0.365066667,0.3494,0.2707,0.382666667,0.3482,0.258266667
R9 80-90,,,68.48,0.183333333,13.08,68.48,13.08333333,89.21666667,37.29666667,38.62333333,24.03666667,174.6666667,166.3333333,143.3333333,,0.333333333,0.296666667,0.446666667,0.006666667,0.3832,0.376633333,0.290666667,0.404566667,0.384666667,0.290933333,0.426433333,0.383066667,0.276133333
R9 90-100,,,68.2,-0.376666667,11.48666667,68.2,11.49666667,91.90333333,36.76333333,38.24666667,24.64666667,172,166,145.3333333,,0.346666667,0.296666667,0.436666667,0.01,0.378066667,0.3748,0.298166667,0.396033333,0.3822,0.298333333,0.412766667,0.381266667,0.2852
R10 0-10,,,50.92666667,3.333333333,12.46333333,50.92666667,12.90333333,75.02,19.17333333,19.21,11.25333333,133,119,100.3333333,,0.46,0.463333333,0.596666667,0.143333333,0.196566667,0.183333333,0.136066667,0.212733333,0.187033333,0.1363,0.235033333,0.1842,0.1279
R10 10-20,,,50.79,2.04,10.70333333,50.79,10.89666667,79.22,18.82,19.10666667,11.76333333,130,119.3333333,102.6666667,,0.476666667,0.453333333,0.58,0.136666667,0.193233333,0.1843,0.1423,0.206333333,0.1878,0.142433333,0.223133333,0.185866667,0.135066667
R10 20-30,,,55.88666667,1.506666667,10.62333333,55.88666667,10.73333333,81.95,23.3,23.81666667,15.02666667,142,132.6666667,115.6666667,,0.446666667,0.413333333,0.536666667,0.083333333,0.239466667,0.230933333,0.1818,0.253866667,0.2352,0.181966667,0.271466667,0.2333,0.1734
R10 30-40,,,55.43,1.096666667,10.03666667,55.43,10.1,83.75,22.76,23.35666667,14.93333333,139.6666667,132,115.3333333,,0.456666667,0.413333333,0.533333333,0.086666667,0.234,0.227166667,0.1807,0.247066667,0.231266667,0.180866667,0.2624,0.229733333,0.172733333
